class_id,canonical_name,pgfa_description,smie_description,sa_dvae_description,star_description,pgfa_description_chars,pgfa_description_tokens,smie_description_chars,smie_description_tokens,sa_dvae_description_chars,sa_dvae_description_tokens,star_description_chars,star_description_tokens
26,Jumping up,"""Jumping up"" involves leaping upward from a standing position as part of physical training.","""Jumping up"" involves leaping upward from a standing position as part of physical training.","""Jumping up"" involves leaping upward from a standing position as part of physical training.","jump up; Head: May tilt slightly upwards as the body prepares to jump; Hand: Often stays by the side or may swing slightly for balance during the jump; Arm: Can swing gently to aid in propulsion and balance during the jump; Hip: Bends slightly to provide power and momentum for the jump; Leg: Bends at the knee, then extends forcefully to propel the body upwards; Foot: Pushes off the ground with force, providing the main thrust for the jump.",91,14,91,14,91,14,443,79
27,Make a phone call/Answer phone,"""Make a phone call/Answer phone"" involves using a phone to either initiate or receive a phone conversation.","""Make a phone call/Answer phone"" involves using a phone to either initiate or receive a phone conversation.","""Make a phone call/Answer phone"" involves using a phone to either initiate or receive a phone conversation.","phone call; Head: Typically remains upright, with the ear positioned close to the phone's speaker; Hand: Holds the phone securely, bringing it to the ear or holding it in front of the mouth; Arm: Supports the weight of the phone and may adjust its position for comfort during the call; Hip: Often remains stationary, providing stability to the upper body during the call; Leg: Can be crossed or resting on the ground, providing support and stability; Foot: Typically remains in place, providing support to the leg and body during the call.",107,17,107,17,107,17,539,91
28,Playing with phone/tablet,"""Playing with phone/tablet"" involves manipulating electronic devices through various interactions such as tapping, swiping, or scrolling.","""Playing with phone/tablet"" involves manipulating electronic devices through various interactions such as tapping, swiping, or scrolling.","""Playing with phone/tablet"" involves manipulating electronic devices through various interactions such as tapping, swiping, or scrolling.","play with phone/tablet; Head: May tilt slightly downwards to focus on the screen of the device; Hand: Holds the phone or tablet securely and controls its movements, such as tapping or swiping; Arm: Supports the weight of the device and may adjust its position for comfort during use; Hip: Often remains stationary, providing stability to the upper body; Leg: Can be crossed or resting on the ground, providing support and stability; Foot: Typically remains in place, providing support to the leg and body while using the phone or tablet.",137,16,137,16,137,16,537,89
29,Typing on a keyboard,"""Typing on a keyboard"" is the act of pressing keys on a keyboard to input information or commands into a computer or other electronic device.","""Typing on a keyboard"" is the act of pressing keys on a keyboard to input information or commands into a computer or other electronic device.","""Typing on a keyboard"" is the act of pressing keys on a keyboard to input information or commands into a computer or other electronic device.","type on a keyboard; Head: Typically remains upright, with eyes focused on the screen or keyboard; Hand: Moves fingers to press keys on the keyboard; Arm: Supports the weight of the hand and provides stability during typing; Hip: Often remains stationary, providing stability to the upper body; Leg: Can be crossed or resting on the ground, providing support and stability; Foot: Typically remains in place, providing support to the leg and body while typing.",141,25,141,25,141,25,458,74
30,Pointing to something with finger,"""Pointing to something with finger"" involves extending the arm and using the finger to indicate or draw attention to a specific object or location.","""Pointing to something with finger"" involves extending the arm and using the finger to indicate or draw attention to a specific object or location.","""Pointing to something with finger"" involves extending the arm and using the finger to indicate or draw attention to a specific object or location.","point to something; Head: May turn slightly to direct attention towards the object being pointed at; Hand: Extends the index finger towards the object, pointing in its direction; Arm: Moves in conjunction with the hand, guiding it to point accurately; Hip: Often remains stable, providing a base for the arm to move freely; Leg: Can shift weight slightly for balance or to adjust position; Foot: Typically remains in place, providing support to the leg and body while pointing.",147,24,147,24,147,24,477,78
31,Taking a selfie,"""Taking a selfie"" is using a camera to take a self-portrait photograph, typically for sharing on social media or personal keepsake.","""Taking a selfie"" is using a camera to take a self-portrait photograph, typically for sharing on social media or personal keepsake.","""Taking a selfie"" is using a camera to take a self-portrait photograph, typically for sharing on social media or personal keepsake.","taking a selfie; Head: May tilt slightly to find the best angle or position for the selfie; Hand: Holds the phone or camera at arm's length, ready to take the photo; Arm: Extends outward to hold the phone or camera, positioning it for the selfie; Hip: Often remains stable, providing a base for the body while taking the photo; Leg: Can shift weight slightly for balance or to adjust position; Foot: Typically remains in place, providing support to the leg and body while taking the selfie.",131,21,131,21,131,21,490,86
32,Checking time (from watch),"""Checking time (from watch)"" involves looking at a wristwatch or other timekeeping device to determine the current time.","""Checking time (from watch)"" involves looking at a wristwatch or other timekeeping device to determine the current time.","""Checking time (from watch)"" involves looking at a wristwatch or other timekeeping device to determine the current time.","check time (from watch); Head: Tilts slightly downwards or to the side to glance at the watch face; Hand: Raises and rotates the wrist to bring the watch face into view; Arm: Moves in conjunction with the hand, positioning the watch for easy viewing; Hip: Generally remains stable, providing a base for the body during the action; Leg: Can shift weight slightly for balance or to adjust position; Foot: Typically remains in place, providing support to the leg and body while checking the time.",120,18,120,18,120,18,493,84
33,Rubbing two hands together,"""Rubbing two hands together"" involves moving one's hands back and forth against each other, often for warmth.","""Rubbing two hands together"" involves moving one's hands back and forth against each other, often for warmth.","""Rubbing two hands together"" involves moving one's hands back and forth against each other, often for warmth.","rub two hands; Head: Often stays upright, with the eyes potentially focused on the hands or elsewhere; Hand: Rubs against the other hand, creating friction and warmth; Arm: Moves in coordination with the hands, providing the motion for rubbing; Hip: Generally remains stable, providing a base for the upper body; Leg: Can shift slightly for comfort or balance, but typically stays in place; Foot: Typically remains in place, providing support to the leg and body during the action.",109,17,109,17,109,17,481,78
34,Nod headbow,"""Nod headbow"" involves lowering one's head briefly in a sign of respect, greeting, or acknowledgment.","""Nod headbow"" involves lowering one's head briefly in a sign of respect, greeting, or acknowledgment.","""Nod headbow"" involves lowering one's head briefly in a sign of respect, greeting, or acknowledgment.","nod head/bow; Head: Bows forward or tilts downward in a nodding motion; Hand: Typically remains by the side or may be used for balance, especially during a deep bow; Arm: Can hang by the side or may be placed across the chest, depending on the depth of the bow; Hip: Often remains stable, providing a base for the upper body; Leg: Can step forward or shift weight slightly for balance, especially during a deeper bow; Foot: Typically remains in place, providing support to the leg and body during the action.",101,15,101,15,101,15,508,90
35,Shake head,"""Shake head"" is moving the head from side to side in a rapid or deliberate manner, often to indicate disagreement.","""Shake head"" is moving the head from side to side in a rapid or deliberate manner, often to indicate disagreement.","""Shake head"" is moving the head from side to side in a rapid or deliberate manner, often to indicate disagreement.","shake head; Head: Moves from side to side in a horizontal motion; Hand: Typically remains by the side or may be used for balance, especially if the shaking motion is vigorous; Arm: Can hang by the side or may move slightly to accompany the motion of the head; Hip: Often remains stable, providing a base for the upper body; Leg: Can shift weight slightly for balance, especially if the shaking motion is forceful; Foot: Typically remains in place, providing support to the leg and body during the action.",114,20,114,20,114,20,504,88
36,Wiping face,"""Wiping face"" involves using a cloth or one's hands to remove dirt, sweat, or moisture from one's face.","""Wiping face"" involves using a cloth or one's hands to remove dirt, sweat, or moisture from one's face.","""Wiping face"" involves using a cloth or one's hands to remove dirt, sweat, or moisture from one's face.","wipe face; Head: May tilt slightly to one side or lean forward to facilitate the wiping motion; Hand: Holds a tissue, cloth, or handkerchief and makes contact with the face to wipe away sweat, dirt, or moisture; Arm: Moves the hand in a gentle wiping motion across the face, covering areas like the forehead, cheeks, or chin; Hip: Often remains stationary, providing stability to the upper body during the wiping process; Leg: Can shift weight slightly for balance or comfort, especially if standing or adjusting position; Foot: Typically remains in place, providing support to the leg and body while wiping the face.",103,18,103,18,103,18,617,102
37,Salute,"""Salute"" is a gesture of respect or greeting, typically performed by raising one's hand to the forehead or brim of a hat.","""Salute"" is a gesture of respect or greeting, typically performed by raising one's hand to the forehead or brim of a hat.","""Salute"" is a gesture of respect or greeting, typically performed by raising one's hand to the forehead or brim of a hat.","salute; Head: Tilts slightly upward or remains upright, often facing forward; Hand: Raises to the forehead or eyebrow level, with fingers extended and held together; Arm: Lifts the hand in a swift and straight motion towards the head; Hip: Generally remains stationary, providing stability to the upper body during the salute; Leg: Can remain straight or may slightly bend at the knee for balance; Foot: Typically remains in place, providing support to the leg and body during the salute.",121,22,121,22,121,22,488,79
38,Putting the palms together,"""Putting the palms together"" is the act of pressing one's hands together, often as a sign of respect, greeting, or prayer.","""Putting the palms together"" is the act of pressing one's hands together, often as a sign of respect, greeting, or prayer.","""Putting the palms together"" is the act of pressing one's hands together, often as a sign of respect, greeting, or prayer.","put palms together; Head: Generally remains upright, with eyes potentially focused on the hands or elsewhere; Hand: Brings both palms together, fingers aligned and facing each other; Arm: Moves the hands towards each other, bringing the palms together; Hip: Typically remains stable, providing a base for the upper body; Leg: Can shift weight slightly for balance or comfort; Foot: Typically remains in place, providing support to the leg and body during the action.",122,21,122,21,122,21,466,73
39,Crossing hands in front (saying stop),"""Crossing hands in front (saying stop)"" is a gesture where one crosses their arms in front of their body and says ""stop"".","""Crossing hands in front (saying stop)"" is a gesture where one crosses their arms in front of their body and says ""stop"".","""Crossing hands in front (saying stop)"" is a gesture where one crosses their arms in front of their body and says ""stop"".","cross hands in front; Head: Generally remains upright, with eyes potentially focused on the hands or elsewhere; Hand: Crosses one hand over the other, fingers may interlace or rest on the opposite arm; Arm: Crosses one arm over the other, typically at the wrists or forearms; Hip: Often remains stable, providing a base for the upper body; Leg: Can shift weight slightly for balance or comfort; Foot: Typically remains in place, providing support to the leg and body during the action.",121,22,121,22,121,22,485,81
40,Sneeze/cough,"""Sneeze/cough"" is the involuntary or deliberate act of expelling air and sometimes mucus from the nose and mouth, typically due to illness or irritation.","""Sneeze/cough"" is the involuntary or deliberate act of expelling air and sometimes mucus from the nose and mouth, typically due to illness or irritation.","""Sneeze/cough"" is the involuntary or deliberate act of expelling air and sometimes mucus from the nose and mouth, typically due to illness or irritation.","sneeze/cough; Head: May tilt slightly forward or downwards as the body prepares for the sneeze or cough; Hand: Can cover the mouth and nose to contain the sneeze or cough, or may be used to hold a tissue or handkerchief; Arm: Moves in conjunction with the hand to cover the mouth and nose; Hip: Typically remains stable, providing a base for the upper body during the sneeze or cough; Leg: Can shift weight slightly for balance or comfort; Foot: Typically remains in place, providing support to the leg and body during the action.",153,24,153,24,153,24,530,93
41,Staggering,"""Staggering"" is the unsteady movement or swaying of the body, usually caused by intoxication, dizziness, or fatigue.","""Staggering"" is the unsteady movement or swaying of the body, usually caused by intoxication, dizziness, or fatigue.","""Staggering"" is the unsteady movement or swaying of the body, usually caused by intoxication, dizziness, or fatigue.","staggering; Head: Might sway or tilt slightly, possibly struggling to maintain balance; Hand: May reach out for support or attempt to stabilize the body by grasping onto nearby objects; Arm: Can swing or flail in an uncoordinated manner as the body tries to regain balance; Hip: Often shifts from side to side as the body struggles to maintain equilibrium; Leg: May step unevenly or buckle under the weight, causing an unsteady gait; Foot: Can land awkwardly or stumble as the person attempts to walk or stand.",116,17,116,17,116,17,510,86
42,Falling,"""Falling"" is the sudden loss of balance resulting in a person dropping or collapsing to the ground or a lower surface.","""Falling"" is the sudden loss of balance resulting in a person dropping or collapsing to the ground or a lower surface.","""Falling"" is the sudden loss of balance resulting in a person dropping or collapsing to the ground or a lower surface.","falling down; Head: Often tilts backwards or to the side as the body loses balance; Hand: Can reach out in an attempt to grab onto something for support or to break the fall; Arm: May flail or extend outward in an instinctive effort to regain balance or cushion the fall; Hip: Typically shifts suddenly as the body begins to lose stability; Leg: May buckle or give way under the weight of the body, contributing to the fall; Foot: Often loses contact with the ground or may land awkwardly as the person begins to fall.",118,21,118,21,118,21,518,94
43,Touching head (headache),"""Touching head (headache)"" involves placing one's hands on the head to alleviate pain or discomfort in the head or neck area.","""Touching head (headache)"" involves placing one's hands on the head to alleviate pain or discomfort in the head or neck area.","""Touching head (headache)"" involves placing one's hands on the head to alleviate pain or discomfort in the head or neck area.","headache; Head: Might be held or massaged as the person tries to alleviate the pain; Hand: Can be used to hold the head or apply pressure to specific areas to relieve discomfort; Arm: May reach for medication or a cold compress to help alleviate the headache; Hip: Often remains stable, providing support to the upper body during discomfort; Leg: Can adjust position for comfort, but typically stays in a resting position; Foot: Generally remains in place, providing support while the person tries to find relief from the headache.",125,21,125,21,125,21,531,88
